[2025-06-12 11:59:42,437] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 12:00:37,592] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 12:34:00,452] INFO: Parsing HR policy...
[2025-06-12 12:34:00,528] INFO: Extracting ZIP invoices...
[2025-06-12 12:34:16,660] INFO: Parsing HR policy...
[2025-06-12 12:34:16,716] INFO: Extracting ZIP invoices...
[2025-06-12 12:34:44,952] INFO: Processing invoice: Meal Invoice 1.pdf
[2025-06-12 12:34:44,952] INFO: Processing invoice: Meal Invoice 2.pdf
[2025-06-12 12:34:44,952] INFO: Processing invoice: Meal Invoice 3.pdf
[2025-06-12 12:34:44,976] INFO: Processing invoice: Meal Invoice 4.pdf
[2025-06-12 12:34:44,988] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 12:34:45,016] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 12:34:45,042] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 12:34:45,056] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 12:34:47,066] INFO: Processing invoice: Meal Invoice 5.pdf
[2025-06-12 12:34:47,069] INFO: Processing invoice: Meal Invoice 6.pdf
[2025-06-12 12:34:47,074] INFO: Processing invoice: Meal Invoice 7.pdf
[2025-06-12 12:34:47,095] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 12:34:47,118] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 12:34:47,145] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 12:34:47,218] INFO: Processing invoice: Meal Invoice 8.pdf
[2025-06-12 12:34:47,241] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 12:34:51,072] INFO: LLM response for Meal Invoice 6.pdf: Status: Declined
Reason: The invoice includes alcoholic beverages (Wines), which are explicitly non-reimbursable according to the policy.
[2025-06-12 12:34:51,106] INFO: LLM response for Meal Invoice 5.pdf: Status: Declined
Reason: The expense is for coffee, which is not explicitly listed as reimbursable under the "Food and Beverages" section, and the receipt does not indicate that it was incurred during work-related travel or a business meeting.
[2025-06-12 12:34:51,182] INFO: Stored in ChromaDB: {'invoice_id': 'Meal Invoice 6.pdf', 'employee': 'Sahil', 'status': 'Declined', 'reason': 'The invoice includes alcoholic beverages (Wines), which are explicitly non-reimbursable according to the policy.', 'date': '2025-06-12'}
[2025-06-12 12:34:51,238] INFO: Stored in ChromaDB: {'invoice_id': 'Meal Invoice 5.pdf', 'employee': 'Sahil', 'status': 'Declined', 'reason': 'The expense is for coffee, which is not explicitly listed as reimbursable under the "Food and Beverages" section, and the receipt does not indicate that it was incurred during work-related travel or a business meeting.', 'date': '2025-06-12'}
[2025-06-12 12:36:41,445] INFO: Performing vector search for query: Can You tell me about invoice reimbursements of Sahil
[2025-06-12 12:36:41,610] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 12:36:43,914] INFO: Chatbot response generated successfully.
[2025-06-12 13:10:04,664] INFO: Parsing HR policy...
[2025-06-12 13:10:04,729] INFO: Extracting ZIP invoices...
[2025-06-12 13:11:02,795] INFO: Processing invoice: Meal Invoice 1.pdf
[2025-06-12 13:11:02,795] INFO: Processing invoice: Meal Invoice 2.pdf
[2025-06-12 13:11:02,826] INFO: Processing invoice: Meal Invoice 3.pdf
[2025-06-12 13:11:02,832] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 13:11:02,864] INFO: Processing invoice: Meal Invoice 4.pdf
[2025-06-12 13:11:02,866] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 13:11:02,889] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 13:11:02,915] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 13:11:13,465] INFO: Processing invoice: Meal Invoice 5.pdf
[2025-06-12 13:11:13,471] INFO: Processing invoice: Meal Invoice 6.pdf
[2025-06-12 13:11:13,506] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 13:11:13,541] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 13:11:13,629] INFO: Processing invoice: Meal Invoice 7.pdf
[2025-06-12 13:11:13,663] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 13:11:13,768] INFO: Processing invoice: Meal Invoice 8.pdf
[2025-06-12 13:11:13,789] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 13:11:15,408] INFO: LLM response for Meal Invoice 5.pdf: Status: Declined
Reason: The expense is for coffee, which is not reimbursable under the "Food and Beverages" section unless it was incurred while traveling for work or attending business meetings, and the invoice does not provide sufficient information to determine this.
[2025-06-12 13:11:15,561] INFO: Stored in ChromaDB: {'invoice_id': 'Meal Invoice 5.pdf', 'employee': 'Sahil', 'status': 'Declined', 'reason': 'The expense is for coffee, which is not reimbursable under the "Food and Beverages" section unless it was incurred while traveling for work or attending business meetings, and the invoice does not provide sufficient information to determine this.', 'date': '2025-06-12'}
[2025-06-12 13:12:17,814] INFO: Performing vector search for query: Give me details for invoice reimbursement for Sahil
[2025-06-12 13:12:17,895] INFO: Trying Gemini 2.0 Flash via Google...
[2025-06-12 13:12:24,066] INFO: Chatbot response generated successfully.
